account_id,account_age_days,has_profile_pic,has_bio,has_profile_bio_combined,followers,following,follower_following_ratio,num_posts,sleep_inactivity_window,interaction_time_variance,comment_template_reuse_rate,account_age_activity_ratio,burst_engagement_score,posting_time_entropy,comment_vocabulary_size,follower_growth_pattern,like_comment_ratio,hashtag_reuse_rate,username_digit_ratio,mutual_follower_ratio,night_activity_ratio,coordinated_posting_score,comment_relevance_score,content_diversity_score,follow_unfollow_churn_rate,ghost_follower_percentage,is_bot
user_000010,1480,1,1,1,1059,502,2.1096,878,1,0.7574,0.2421,1.6837,1.31,0.9481,457,0.3862,13.98,0.211,0.0031,0.6713,0.1356,0.2917,0.9373,0.8986,0.1236,0.127,0
user_000011,67,0,0,0,232,1069,0.217,2,0,0.0743,0.8153,22.3333,49.65,0.142,149,0.7968,1.71,0.6478,0.6545,0.0874,0.4186,0.7469,0.1769,0.2529,0.5326,0.4021,1
user_000012,20,0,1,0,409,3201,0.1278,11,1,0.0569,0.8026,1.6667,30.35,0.3016,70,0.8397,1.13,0.7003,0.5954,0.0143,0.3149,0.8879,0.2081,0.1318,0.7089,0.708,1
user_000013,184,1,1,1,1091,933,1.1693,399,1,0.7868,0.2315,0.46,7.83,0.7807,1993,0.1123,7.79,0.2301,0.1488,0.4003,0.0869,0.0702,0.7499,0.841,0.0645,0.233,0
user_000014,1299,1,1,1,587,1310,0.4481,934,1,0.7325,0.2143,1.3893,4.05,0.8555,1399,0.2698,4.9,0.136,0.0684,0.3367,0.0688,0.1279,0.9428,0.6614,0.0543,0.2027,0
user_000015,100,0,0,0,32,3349,0.0096,30,0,0.2834,0.7754,3.2258,33.88,0.3052,35,0.7212,1.32,0.6093,0.5929,0.1416,0.5302,0.7359,0.293,0.2146,0.7182,0.7766,1
user_000016,1620,1,1,1,384,446,0.861,61,0,0.5082,0.0736,26.129,5.78,0.6249,1075,0.2156,11.18,0.2022,0.0521,0.4984,0.1886,0.1371,0.9278,0.6137,0.1545,0.2435,0
user_000017,636,1,1,1,1222,1027,1.1899,145,1,0.9188,0.2646,4.3562,4.0,0.8628,516,0.1715,7.53,0.2603,0.0993,0.4558,0.1095,0.075,0.6187,0.9355,0.2618,0.121,0
user_000018,128,0,0,0,153,3640,0.042,34,0,0.1884,0.6745,3.6571,48.12,0.3344,58,0.7274,1.04,0.6201,0.5748,0.0718,0.6551,0.7228,0.1351,0.1357,0.8046,0.6473,1
user_000019,1722,1,1,1,1516,995,1.5236,844,1,0.5366,0.0712,2.0379,7.91,0.731,1665,0.3438,14.37,0.3958,0.1507,0.4505,0.0667,0.2443,0.7954,0.7485,0.2766,0.0722,0
user_000020,832,1,1,1,1783,525,3.3962,505,0,0.7921,0.2365,1.6443,5.08,0.9368,1514,0.2433,3.99,0.2585,0.0873,0.6208,0.2456,0.189,0.7129,0.6152,0.2812,0.2338,0
user_000021,1862,1,1,1,1356,1378,0.984,575,1,0.9481,0.2242,3.2326,3.69,0.858,1270,0.1843,14.4,0.3671,0.0911,0.5481,0.1055,0.097,0.7623,0.7237,0.1959,0.0655,0
user_000022,155,0,0,0,426,3008,0.1416,27,0,0.0833,0.6267,5.5357,47.92,0.225,66,0.9758,0.26,0.9068,0.5758,0.0331,0.4645,0.8722,0.2441,0.3463,0.6507,0.6998,1
user_000023,1006,1,1,1,1733,154,11.2532,148,0,0.5062,0.0688,6.7517,5.84,0.787,1968,0.399,9.67,0.3307,0.189,0.6399,0.0995,0.1626,0.6452,0.9339,0.2015,0.0957,0
user_000024,32,0,0,0,48,749,0.0641,33,0,0.2578,0.7077,0.9412,43.57,0.3904,76,0.877,1.01,0.7472,0.6923,0.0995,0.622,0.9161,0.2852,0.3451,0.7432,0.6547,1
user_000025,614,1,1,1,265,1033,0.2565,384,1,0.7799,0.2656,1.5948,7.65,0.6515,483,0.3526,12.23,0.1199,0.0092,0.5483,0.1195,0.1023,0.8029,0.7195,0.1843,0.142,0
user_000026,1577,1,0,0,1819,330,5.5121,244,1,0.7319,0.2933,6.4367,5.21,0.6783,1328,0.2035,7.17,0.1095,0.1097,0.5138,0.1212,0.2736,0.6451,0.7155,0.1304,0.0685,0
user_000027,393,0,1,0,2978,97,30.701,622,0,0.8907,0.0711,0.6308,5.18,0.9452,602,0.2111,8.81,0.2855,0.0738,0.485,0.1995,0.0592,0.6884,0.8497,0.2738,0.1523,0
user_000028,1477,1,1,1,1315,534,2.4625,77,0,0.6449,0.1029,18.9359,3.29,0.6419,444,0.2029,8.69,0.2065,0.1298,0.4918,0.1668,0.2342,0.7952,0.8053,0.1911,0.1258,0
user_000029,871,1,1,1,2075,364,5.7005,926,1,0.9202,0.0519,0.9396,2.58,0.7279,923,0.1482,5.24,0.1855,0.0347,0.6587,0.066,0.1811,0.7436,0.9438,0.078,0.1296,0
user_000030,4,0,1,0,103,3051,0.0338,37,0,0.2823,0.7949,0.1053,35.01,0.184,63,0.7615,1.94,0.8488,0.3998,0.1131,0.5119,0.8475,0.3303,0.1218,0.7024,0.7728,1
user_000031,438,0,1,0,109,310,0.3516,968,1,0.5908,0.2211,0.452,1.62,0.6486,628,0.3281,10.15,0.2415,0.0824,0.4395,0.2359,0.2577,0.9378,0.6435,0.2327,0.2377,0
user_000032,1750,1,1,1,1955,1422,1.3748,889,1,0.8377,0.2499,1.9663,6.78,0.6652,1150,0.2996,9.28,0.2076,0.1754,0.457,0.2133,0.1598,0.7319,0.7619,0.1253,0.1995,0
user_000033,844,1,1,1,2097,870,2.4103,665,1,0.7443,0.1579,1.2673,3.33,0.8557,853,0.1418,12.53,0.286,0.1067,0.6576,0.2077,0.0879,0.7091,0.687,0.236,0.0567,0
user_000034,1725,1,1,1,1241,855,1.4515,958,0,0.8809,0.0819,1.7987,3.78,0.8791,1584,0.2459,7.91,0.3316,0.0024,0.5394,0.1631,0.229,0.8097,0.8894,0.2898,0.1185,0
user_000035,202,1,1,1,2543,267,9.5243,190,0,0.5454,0.114,1.0576,6.08,0.8075,1303,0.2695,11.36,0.3767,0.1414,0.361,0.1653,0.2017,0.7484,0.8578,0.2836,0.2351,0
user_000036,993,1,0,0,2567,1255,2.0454,874,1,0.6401,0.1068,1.1349,5.26,0.7328,1632,0.2006,12.63,0.1014,0.0667,0.4593,0.1575,0.28,0.7212,0.7214,0.2344,0.1404,0
user_000037,1055,1,1,1,124,1253,0.099,759,0,0.6402,0.2451,1.3882,2.94,0.677,1792,0.2546,14.71,0.2377,0.1115,0.6443,0.157,0.0961,0.7049,0.7085,0.1493,0.1354,0
user_000038,62,0,0,0,438,2000,0.219,29,1,0.1969,0.7029,2.0667,39.99,0.2583,132,0.8202,1.16,0.6543,0.391,0.1306,0.6784,0.7307,0.1812,0.261,0.6635,0.4102,1
user_000039,1381,1,1,1,412,808,0.5099,884,1,0.8024,0.0549,1.5605,1.73,0.88,878,0.3662,9.68,0.3162,0.1611,0.6955,0.1706,0.2517,0.9369,0.9305,0.0853,0.1313,0
user_000040,186,1,1,1,246,1454,0.1692,964,1,0.6896,0.2732,0.1927,6.72,0.7196,1045,0.3475,7.36,0.1103,0.1661,0.4381,0.2048,0.1407,0.9014,0.6768,0.2936,0.206,0
user_000041,1361,1,1,1,227,785,0.2892,770,1,0.7306,0.2354,1.7652,5.89,0.7409,1524,0.1418,13.02,0.3953,0.1051,0.3687,0.1045,0.0546,0.92,0.6412,0.1941,0.1048,0
user_000042,1356,1,1,1,441,76,5.8026,874,1,0.8295,0.1127,1.5497,5.43,0.773,1205,0.3743,8.03,0.2149,0.1038,0.3188,0.0833,0.2345,0.629,0.8111,0.1113,0.1279,0
user_000043,1715,1,1,1,2891,1300,2.2238,359,1,0.7987,0.2842,4.7639,6.13,0.6752,1871,0.262,4.94,0.3525,0.1693,0.6821,0.0809,0.2058,0.766,0.7205,0.1379,0.1326,0
user_000044,104,0,0,0,140,4069,0.0344,36,0,0.2919,0.6018,2.8108,18.61,0.1944,68,0.741,1.91,0.7561,0.3926,0.0859,0.6492,0.8563,0.342,0.2647,0.7769,0.7397,1
user_000045,1292,1,1,1,588,96,6.125,337,1,0.9164,0.0951,3.8225,4.98,0.9204,634,0.3092,6.57,0.3773,0.1942,0.6777,0.1448,0.2655,0.8956,0.7117,0.2572,0.0574,0
user_000046,1174,1,1,1,230,854,0.2693,220,1,0.8261,0.0663,5.3122,3.21,0.7888,1672,0.2985,11.85,0.2561,0.0854,0.6507,0.1335,0.1655,0.9466,0.6001,0.0964,0.1268,0
user_000047,123,1,0,0,455,2532,0.1797,28,0,0.1699,0.8033,4.2414,24.51,0.2195,122,0.8568,1.49,0.6012,0.5337,0.0516,0.6411,0.8504,0.2767,0.1693,0.8641,0.418,1
user_000048,1547,1,1,1,1928,110,17.5273,988,1,0.942,0.271,1.5642,5.21,0.9163,525,0.1501,14.89,0.1695,0.1885,0.5599,0.1715,0.1782,0.6807,0.6618,0.1051,0.0873,0
user_000049,6,1,1,1,224,3236,0.0692,8,1,0.2987,0.6609,0.6667,28.87,0.3275,81,0.9989,1.81,0.7622,0.6115,0.1147,0.3139,0.9132,0.358,0.2144,0.6565,0.5092,1
user_000050,1398,1,1,1,620,89,6.9663,586,1,0.5391,0.1521,2.3816,3.61,0.6909,1499,0.2488,3.97,0.1661,0.1367,0.3305,0.2202,0.1738,0.7682,0.8073,0.2562,0.1196,0
user_000051,91,1,1,1,225,2883,0.078,39,0,0.0893,0.6561,2.275,26.69,0.1716,119,0.8856,1.53,0.6555,0.7404,0.1321,0.3117,0.889,0.1387,0.1838,0.7974,0.4643,1
user_000052,77,0,0,0,233,3617,0.0644,26,1,0.208,0.6909,2.8519,37.19,0.262,89,0.785,0.14,0.7513,0.7201,0.0649,0.3718,0.8638,0.3366,0.1434,0.8083,0.7789,1
user_000053,703,0,1,0,2852,71,40.169,523,0,0.8836,0.2975,1.3416,5.73,0.7561,1062,0.139,12.1,0.1074,0.0044,0.4294,0.1477,0.2426,0.8392,0.7561,0.1184,0.2494,0
user_000054,576,1,1,1,2944,206,14.2913,124,1,0.5371,0.2201,4.608,5.58,0.6956,1148,0.389,3.38,0.3194,0.1819,0.6429,0.2429,0.24,0.7548,0.7092,0.1302,0.1949,0
user_000055,163,0,1,0,21,2309,0.0091,14,0,0.1858,0.6557,10.8667,22.13,0.1273,27,0.9313,1.71,0.8664,0.6131,0.0284,0.313,0.9223,0.285,0.2991,0.6926,0.4469,1
user_000056,1439,1,1,1,1116,1005,1.1104,880,1,0.6467,0.1976,1.6334,4.03,0.9445,1020,0.1035,3.87,0.2177,0.096,0.54,0.1083,0.2237,0.901,0.8729,0.0599,0.1461,0
user_000057,580,1,1,1,691,1383,0.4996,135,1,0.6557,0.244,4.2647,7.59,0.6253,524,0.1264,7.21,0.11,0.0157,0.4588,0.0765,0.1919,0.8413,0.8802,0.1,0.0835,0
user_000058,496,1,0,0,2921,1146,2.5489,408,1,0.6345,0.2838,1.2127,7.63,0.8189,1407,0.2018,12.78,0.124,0.179,0.519,0.2135,0.1631,0.8253,0.7842,0.2329,0.0663,0
user_000059,266,1,1,1,1366,171,7.9883,196,1,0.6516,0.0955,1.3503,6.53,0.8305,606,0.1485,3.25,0.296,0.0665,0.517,0.1487,0.0704,0.7411,0.6772,0.1546,0.0907,0
user_000060,49,1,1,1,454,2571,0.1766,19,0,0.2338,0.8687,2.45,32.67,0.263,115,0.8764,0.16,0.7384,0.6031,0.0937,0.6172,0.8293,0.3976,0.171,0.6437,0.5535,1
user_000061,200,1,0,0,2247,801,2.8052,527,0,0.6069,0.2928,0.3788,2.27,0.899,1304,0.2311,4.17,0.2215,0.1186,0.5318,0.1825,0.0738,0.8282,0.7093,0.1498,0.2216,0
user_000062,1652,1,0,0,400,968,0.4132,352,1,0.8977,0.1605,4.6799,3.32,0.7571,1143,0.3487,8.17,0.1746,0.1234,0.5827,0.0834,0.0919,0.6128,0.8577,0.216,0.1449,0
user_000063,44,0,1,0,399,1119,0.3566,19,0,0.0643,0.7859,2.2,47.78,0.1118,138,0.7674,0.44,0.631,0.3517,0.0919,0.5753,0.7391,0.244,0.2715,0.507,0.5293,1
user_000064,39,0,0,0,187,1418,0.1319,43,0,0.0814,0.6465,0.8864,20.02,0.3819,143,0.902,1.94,0.6329,0.6363,0.0721,0.6473,0.662,0.3078,0.3095,0.8778,0.6733,1
user_000065,1348,1,1,1,687,1036,0.6631,889,1,0.9134,0.2002,1.5146,7.59,0.8894,1627,0.2954,4.28,0.2974,0.1999,0.3193,0.2454,0.1517,0.9048,0.8738,0.1918,0.1977,0
user_000066,125,1,1,1,28,4053,0.0069,17,1,0.1293,0.9041,6.9444,28.15,0.1891,108,0.7985,1.3,0.8134,0.5817,0.0633,0.5194,0.8088,0.2637,0.2111,0.5059,0.6348,1
user_000067,1153,1,1,1,1126,134,8.403,843,1,0.8812,0.2786,1.3661,6.7,0.6381,1456,0.2196,9.96,0.2601,0.1216,0.606,0.2126,0.2295,0.9344,0.6064,0.0989,0.0515,0
user_000068,124,1,1,1,60,4354,0.0138,3,1,0.1379,0.6355,31.0,32.01,0.177,71,0.901,1.87,0.7863,0.5905,0.0225,0.5871,0.74,0.393,0.3058,0.709,0.4493,1
user_000069,39,0,1,0,321,944,0.34,41,1,0.1561,0.6305,0.9286,43.55,0.2121,125,0.7337,0.1,0.8233,0.5576,0.0931,0.6175,0.8263,0.1524,0.1902,0.8624,0.708,1
user_000070,1038,1,1,1,2678,1133,2.3636,216,1,0.543,0.206,4.7834,4.16,0.8053,986,0.1706,13.43,0.2419,0.1071,0.3714,0.1125,0.1076,0.6722,0.8233,0.1142,0.1764,0
user_000071,1100,1,0,0,1677,1447,1.1589,686,1,0.8116,0.2978,1.6012,1.9,0.6364,1541,0.2012,13.87,0.3318,0.053,0.5581,0.1692,0.1503,0.7284,0.7202,0.2043,0.1385,0
user_000072,5,0,1,0,273,2235,0.1221,49,0,0.1077,0.7599,0.1,21.66,0.1157,21,0.8089,1.99,0.7562,0.4668,0.0913,0.3355,0.9366,0.2905,0.2887,0.5682,0.5638,1
user_000073,234,1,1,1,2031,1029,1.9738,564,1,0.6056,0.1498,0.4142,2.07,0.9474,1571,0.262,13.1,0.2563,0.1247,0.3356,0.2011,0.0819,0.8891,0.8737,0.2272,0.0572,0
user_000074,293,1,1,1,2917,810,3.6012,498,1,0.6786,0.1618,0.5872,5.2,0.7805,1742,0.3359,9.9,0.27,0.0782,0.5005,0.1294,0.1849,0.8198,0.836,0.1831,0.1943,0
user_000075,1210,1,0,0,1528,627,2.437,908,1,0.6557,0.2939,1.3311,5.49,0.8879,1092,0.2438,6.76,0.2819,0.0278,0.6593,0.2159,0.1294,0.9335,0.8888,0.2166,0.0744,0
user_000076,1143,1,1,1,2079,1085,1.9161,849,0,0.7674,0.2841,1.3447,7.13,0.6972,746,0.2922,5.59,0.2859,0.13,0.3608,0.0623,0.2452,0.7609,0.6204,0.2987,0.0616,0
user_000077,83,0,0,0,165,4785,0.0345,45,0,0.223,0.6218,1.8043,32.83,0.399,36,0.7698,0.52,0.6608,0.6279,0.1287,0.5897,0.8772,0.2214,0.2635,0.6417,0.6102,1
user_000078,634,1,1,1,609,1256,0.4849,435,0,0.6884,0.2476,1.4541,5.08,0.8383,1746,0.2857,6.88,0.3503,0.1259,0.3795,0.0629,0.0607,0.73,0.693,0.2115,0.1499,0
user_000079,808,1,0,0,1687,673,2.5067,813,1,0.8648,0.2035,0.9926,7.02,0.7373,853,0.3676,14.46,0.3361,0.0631,0.5753,0.1375,0.1137,0.8943,0.6134,0.2754,0.1423,0
user_000080,34,0,0,0,442,578,0.7647,16,0,0.1796,0.6526,2.0,40.81,0.2537,120,0.7143,0.17,0.8612,0.6295,0.1223,0.3421,0.6124,0.2526,0.1969,0.6848,0.7966,1
user_000081,135,1,0,0,451,1272,0.3546,29,1,0.0672,0.7485,4.5,17.89,0.2544,100,0.7886,1.56,0.8186,0.491,0.0388,0.3486,0.8153,0.3324,0.261,0.7121,0.4168,1
user_000082,149,0,0,0,267,2921,0.0914,12,0,0.237,0.8841,11.4615,37.98,0.1384,34,0.7332,1.24,0.6333,0.488,0.087,0.4555,0.6573,0.1821,0.3321,0.7704,0.5984,1
user_000083,301,1,1,1,2644,829,3.1894,282,1,0.7862,0.1053,1.0636,7.85,0.8619,537,0.3329,10.87,0.1532,0.109,0.6939,0.2375,0.0608,0.6577,0.6461,0.2315,0.2136,0
user_000084,1610,1,1,1,2568,1426,1.8008,745,1,0.5477,0.0879,2.1582,1.66,0.802,1604,0.3283,4.92,0.2385,0.0019,0.3987,0.1953,0.298,0.6347,0.7405,0.25,0.0908,0
user_000085,481,1,0,0,2259,1086,2.0801,442,1,0.5024,0.2402,1.0858,1.25,0.861,1337,0.3249,12.1,0.3035,0.1513,0.6368,0.1441,0.1755,0.6436,0.7349,0.2108,0.2061,0
user_000086,1357,1,1,1,2123,920,2.3076,454,0,0.5751,0.0953,2.9824,3.71,0.7408,882,0.2443,10.71,0.1195,0.116,0.5246,0.1621,0.2009,0.8368,0.8817,0.1175,0.215,0
user_000087,390,0,1,0,641,1387,0.4621,166,1,0.7328,0.16,2.3353,2.03,0.7149,1506,0.1708,7.46,0.1188,0.1603,0.6066,0.1967,0.1249,0.6607,0.8231,0.174,0.0857,0
user_000088,47,1,0,0,146,3971,0.0368,4,0,0.1406,0.7171,9.4,15.92,0.1073,137,0.7819,1.08,0.7046,0.7703,0.0463,0.4719,0.9055,0.3526,0.1465,0.8211,0.5833,1
user_000089,1785,1,0,0,1109,980,1.1316,690,1,0.5032,0.0643,2.5832,2.58,0.646,1892,0.3254,10.88,0.387,0.0138,0.3228,0.1064,0.1154,0.6864,0.9172,0.1124,0.1044,0
user_000090,106,1,0,0,338,2219,0.1523,42,0,0.2766,0.6487,2.4651,33.63,0.2233,26,0.7259,0.55,0.8564,0.5742,0.0279,0.6529,0.7377,0.3484,0.2969,0.7498,0.5978,1
user_000091,69,0,0,0,481,2852,0.1687,18,0,0.2868,0.9386,3.6316,21.41,0.1066,136,0.7676,0.58,0.8977,0.5806,0.0833,0.3459,0.901,0.3168,0.1169,0.7831,0.6174,1
user_000092,377,1,1,1,1637,71,23.0563,161,1,0.5439,0.2655,2.3272,4.22,0.8622,887,0.1187,9.15,0.3419,0.0918,0.3208,0.2073,0.1003,0.6905,0.6576,0.1326,0.2014,0
user_000093,555,1,1,1,2775,653,4.2496,831,1,0.7031,0.2962,0.6671,6.4,0.6095,1577,0.2031,6.39,0.2172,0.1597,0.4488,0.1403,0.1493,0.6327,0.7544,0.0989,0.0873,0
user_000094,687,1,1,1,2714,954,2.8449,608,0,0.9036,0.18,1.1281,4.13,0.7952,685,0.195,13.29,0.3718,0.0554,0.6934,0.0781,0.1005,0.6645,0.9129,0.2136,0.0804,0
user_000095,1145,1,1,1,2796,863,3.2399,936,1,0.688,0.296,1.222,5.68,0.8221,1583,0.3991,14.76,0.2968,0.026,0.5747,0.0686,0.0573,0.888,0.6734,0.1448,0.2447,0
user_000096,444,1,1,1,2358,1450,1.6262,444,1,0.7933,0.1285,0.9978,2.78,0.8867,887,0.2006,5.09,0.3136,0.1652,0.3403,0.098,0.0855,0.7218,0.7576,0.2372,0.1802,0
user_000097,150,1,1,1,359,1430,0.251,32,0,0.219,0.7138,4.5455,39.02,0.1209,143,0.9975,0.24,0.627,0.4702,0.1313,0.3862,0.7261,0.1206,0.2908,0.6633,0.7037,1
user_000098,145,1,1,1,342,2757,0.124,32,1,0.05,0.6592,4.3939,28.64,0.2139,119,0.8145,0.34,0.7445,0.7012,0.0771,0.3072,0.7475,0.1082,0.3416,0.551,0.6831,1
user_000099,131,1,1,1,477,2720,0.1754,6,0,0.1898,0.8199,18.7143,33.64,0.2905,139,0.9111,1.13,0.6338,0.4209,0.0117,0.4875,0.7054,0.2795,0.1743,0.62,0.6973,1
user_000100,247,1,1,1,1721,1200,1.4342,304,0,0.6078,0.2486,0.8098,1.24,0.804,1899,0.3367,9.88,0.2976,0.0505,0.3881,0.1477,0.2344,0.7838,0.6114,0.2671,0.0629,0
user_000101,8,0,0,0,341,4159,0.082,45,0,0.2005,0.9124,0.1739,30.52,0.2821,70,0.8336,1.6,0.8239,0.6382,0.0284,0.3937,0.8754,0.3912,0.1657,0.6086,0.5892,1
user_000102,72,0,0,0,162,4293,0.0377,16,0,0.201,0.9176,4.2353,23.36,0.2409,112,0.8419,1.28,0.7644,0.5237,0.0764,0.5363,0.788,0.3562,0.1124,0.8333,0.7376,1
user_000103,520,1,1,1,2765,1436,1.9255,871,1,0.6787,0.0718,0.5963,5.32,0.6398,1118,0.364,9.9,0.1089,0.1351,0.3179,0.1401,0.2824,0.6578,0.7365,0.2325,0.2265,0
user_000104,109,0,0,0,310,1487,0.2085,4,0,0.2091,0.6179,21.8,24.02,0.1179,103,0.906,0.32,0.7343,0.5281,0.0617,0.3484,0.7466,0.3254,0.1178,0.5321,0.5419,1
user_000105,29,0,0,0,340,2496,0.1362,9,0,0.0847,0.6405,2.9,20.4,0.1516,136,0.9707,0.23,0.7869,0.3711,0.0116,0.4688,0.7033,0.2458,0.2443,0.5175,0.4492,1
user_000106,402,1,1,1,1919,326,5.8865,487,1,0.6818,0.0694,0.8238,4.8,0.9016,1353,0.2339,12.58,0.3467,0.1715,0.6667,0.1362,0.1297,0.8038,0.7299,0.2003,0.1911,0
user_000107,167,0,0,0,16,3767,0.0042,36,1,0.1365,0.6541,4.5135,15.89,0.2937,145,0.8788,0.29,0.8965,0.5655,0.1278,0.5321,0.7959,0.1316,0.1418,0.8888,0.4914,1
user_000108,67,1,0,0,164,4958,0.0331,26,0,0.0558,0.8647,2.4815,31.05,0.1868,141,0.7348,1.92,0.7099,0.7442,0.0944,0.6307,0.9444,0.1865,0.3403,0.6558,0.5542,1
user_000109,247,1,1,1,2032,723,2.8105,414,1,0.8751,0.1601,0.5952,3.12,0.6908,1886,0.1532,9.09,0.3032,0.047,0.6323,0.159,0.0913,0.804,0.9499,0.0876,0.2134,0
user_000110,688,1,1,1,2251,1287,1.749,810,1,0.7077,0.2327,0.8483,2.04,0.8984,912,0.2629,5.73,0.3892,0.1819,0.5889,0.1567,0.2675,0.6457,0.8767,0.0812,0.2088,0
user_000111,737,0,1,0,982,196,5.0102,715,1,0.7175,0.2659,1.0293,5.12,0.7314,1425,0.2567,9.75,0.2324,0.1212,0.6675,0.1225,0.2314,0.9131,0.7596,0.1609,0.1704,0
user_000112,1082,1,1,1,1963,165,11.897,990,1,0.8811,0.2733,1.0918,1.44,0.9092,742,0.1092,14.66,0.1662,0.1468,0.605,0.2359,0.0576,0.9052,0.7845,0.2081,0.1789,0
user_000113,169,0,0,0,66,3734,0.0177,18,0,0.2987,0.6314,8.8947,15.08,0.1132,55,0.9502,1.51,0.65,0.6767,0.1176,0.5634,0.8681,0.3538,0.2534,0.5354,0.5951,1
user_000114,1587,1,0,0,1198,1428,0.8389,633,0,0.8637,0.2869,2.5032,1.51,0.9343,1446,0.3607,11.18,0.1339,0.1684,0.3969,0.1457,0.0863,0.8485,0.8334,0.1028,0.2227,0
user_000115,1418,1,1,1,1150,782,1.4706,280,1,0.6017,0.2101,5.0463,7.85,0.8112,1376,0.2248,12.12,0.1564,0.144,0.6468,0.1408,0.2554,0.7941,0.823,0.1816,0.1426,0
user_000116,232,1,1,1,2850,309,9.2233,254,1,0.8243,0.1504,0.9098,2.11,0.9087,653,0.3165,6.26,0.2207,0.0205,0.3756,0.2066,0.2288,0.8077,0.9135,0.1958,0.1434,0
user_000117,1119,1,1,1,732,626,1.1693,668,1,0.8792,0.1283,1.6726,6.52,0.9122,440,0.2267,7.53,0.3809,0.135,0.3464,0.0585,0.1912,0.9256,0.8955,0.219,0.0778,0
user_000118,414,1,1,1,622,480,1.2958,842,1,0.5474,0.2455,0.4911,5.51,0.6169,1424,0.2496,7.62,0.3597,0.0952,0.3444,0.1769,0.2427,0.601,0.9006,0.0965,0.1604,0
user_000119,1077,1,1,1,1582,1001,1.5804,149,1,0.7735,0.1238,7.18,1.96,0.8281,573,0.3211,14.7,0.1157,0.1364,0.4873,0.1658,0.0713,0.6151,0.8334,0.2558,0.2064,0
user_000120,232,1,1,1,1915,917,2.0883,447,1,0.7218,0.1511,0.5179,4.72,0.8083,1859,0.3175,13.53,0.1125,0.0795,0.6049,0.141,0.1168,0.6769,0.646,0.2643,0.1651,0
user_000121,354,1,0,0,1859,714,2.6036,82,1,0.6005,0.2105,4.2651,4.99,0.7988,672,0.2939,14.69,0.3541,0.0047,0.6594,0.2066,0.2451,0.7603,0.7393,0.1257,0.0631,0
user_000122,789,1,1,1,1247,520,2.3981,989,0,0.931,0.2857,0.797,6.5,0.947,733,0.2934,9.74,0.3331,0.041,0.5903,0.1739,0.274,0.8965,0.7103,0.1191,0.2463,0
user_000123,1271,1,1,1,590,1122,0.5258,736,1,0.6307,0.1675,1.7246,7.23,0.8477,1565,0.307,14.17,0.2492,0.0461,0.3178,0.1331,0.1255,0.8664,0.724,0.2873,0.2425,0
